GivenName,Surname,StreetAddress,City,ZipCode,EmailAddress,TelephoneNumber,Latitude,Longitude,GUID,Domain,Company,Color,Occupation,Vehicle,Birthday,Number,Gender,NameSet,Title,MiddleInitial,State,StateFull,Country,CountryFull,Username,Password,BrowserUserAgent,TelephoneCountryCode,MothersMaiden,TropicalZodiac,CCType,CCNumber,CVV2,CCExpires,NationalID,UPS,WesternUnionMTCN,MoneyGramMTCN,BloodType,Pounds,Kilograms,FeetInches,Centimeters
Hilding,Bergström,"Neubertbogen 22",Romanens,1626,HildingBergstrom@einrot.com,"026 678 55 39",46.738538,7.014588,f87265a1-6cf8-4ea5-b29c-a1187a34e8a0,PrivilegeRewards.ch,"Builders Square",Black,"Bench technician","2009 Chevrolet Epica",12/12/1946,11,male,Swedish,Mr.,H,,,CH,Switzerland,Asialueethe46,uul0EeV8Phuuj,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",41,Lundgren,Sagittarius,Visa,4532479631716094,309,9/2021,,"1Z 304 812 45 3468 320 1",4390216339,45394865,A+,194.7,88.5,"5' 11""",180
Diana,Jakobsson,"Via Pestariso 126","St. Antönien",7246,DianaJakobsson@cuvox.de,"081 792 97 48",46.898864,9.792014,b4e5b69a-85b4-4b50-958c-b33ecd535531,DevelopFuel.ch,Prospa-Pal,Orange,"National account executive","2001 GMC Sonoma",7/7/1954,12,female,Swedish,Ms.,H,,,CH,Switzerland,Warover,oShid9ahm2o,"Mozilla/5.0 (Windows NT 10.0; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0",41,Arvidsson,Cancer,Visa,4929620112228106,461,6/2019,,"1Z 694 2Y8 10 9272 294 3",4266945626,97428481,A+,184.4,83.8,"5' 7""",171
Elis,Nordin,"Casut 78",Linden,3673,ElisNordin@teleworm.us,"033 863 31 85",46.885555,7.602405,bfcdd610-7e0e-4529-85b0-d8f0fe4ae6ed,FaithAdvisor.ch,"House Works",Green,"Surgical technologist","2004 MCC Silverpulse",8/20/1938,13,male,Swedish,Mr.,T,,,CH,Switzerland,Pilly1938,iuGa2ului7ei,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",41,Olsson,Leo,MasterCard,5444802863299196,226,3/2021,,"1Z E92 A55 31 6622 101 8",5961435888,21119457,O+,161.9,73.6,"5' 4""",162
Nadin,Jonsson,"Hasenbühlstrasse 100",Boécourt,2856,NadinJonsson@jourrapide.com,"032 259 99 10",47.420537,7.250573,99d9d0f2-67a0-4083-8533-e2a44b58b5ec,FranchiseUnit.ch,"Integra Investment Plan",Blue,Journalist,"2011 Mercedes-Benz CL",2/22/1996,14,female,Swedish,Ms.,F,,,CH,Switzerland,Faspen,Iequ6iep1th,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9",41,Åström,Pisces,Visa,4929501976461746,984,7/2019,,"1Z 779 175 78 5386 821 9",5666762078,23343293,B+,96.8,44.0,"5' 4""",162
Timmy,Björklund,"Sondanella 10",Grub,9036,TimmyBjorklund@gustr.com,"071 444 31 83",47.415857,9.413872,31473662-2966-4a3b-837f-62ace571dc2a,KosherBlogger.ch,VitaGrey,Orange,"Office machine and cash register technician","2002 Honda That",8/5/1949,15,male,Swedish,Mr.,M,,,CH,Switzerland,Darke1949,aV5quuu8sah,"Mozilla/5.0 (Windows NT 10.0; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0",41,Bengtsson,Leo,Visa,4916224608420650,052,2/2021,,"1Z 704 352 85 3001 645 3",7922134608,55594341,B+,231.4,105.2,"5' 7""",171
Colin,Ekström,"Boldistrasse 139",Niederscherli,3145,ColinEkstrom@einrot.com,"031 989 59 25",46.954381,7.394787,1bbb1aba-637b-4817-85e7-ee4b8f416aa2,NuclearSuits.ch,"Jackpot Consultant",Silver,"Urban and transportation geographer","2000 Fiat Scudo",4/25/1944,16,male,Swedish,Dr.,E,,,CH,Switzerland,Donts1944,see0OoheiD2,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36",41,Danielsson,Taurus,Visa,4916674816433475,620,8/2017,,"1Z 239 704 61 9863 913 8",1687814928,19973820,B+,231.0,105.0,"6' 0""",183
Isolde,Gustavsson,"Püntstrasse 14",Wünnewil-Flamatt,3175,IsoldeGustavsson@rhyta.com,"031 337 38 87",46.880885,7.220994,fd57f446-a306-425e-ac2e-57ac17132663,NetworkingMixer.ch,Janeville,Orange,"Talking-books clerk","2001 GAZ 3110",8/17/1978,17,female,Swedish,Mrs.,E,,,CH,Switzerland,Biturnight,Eid1IefieGhee,"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",41,Pettersson,Leo,MasterCard,5576271943730176,425,5/2017,,"1Z V18 228 41 5781 578 9",7598661617,58326438,AB+,197.8,89.9,"5' 7""",169
Ragnar,Forsberg,"Sonnenbergstr 23","Bremgarten bei Bern",3047,RagnarForsberg@rhyta.com,"031 219 85 19",46.995483,7.405452,47c8c617-b39b-4b30-9738-d5c27d54a7c9,SchoolSub.ch,"Gamma Gas",Blue,Stenocaptioner,"2003 Toyota 4Runner",10/23/1930,18,male,Swedish,Mr.,C,,,CH,Switzerland,Covelaw,zohD1hahth,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36",41,Abrahamsson,Scorpio,Visa,4916109823372978,977,2/2021,,"1Z 7Y8 753 92 7591 117 1",6510801571,07096679,AB+,150.9,68.6,"6' 0""",182
Gloria,Norberg,"Im Wingert 147",Lenzburg,5600,GloriaNorberg@einrot.com,"062 409 82 93",47.392239,8.254898,8b641bba-a02c-41da-b0c9-4e71beb836de,TennisConsultants.ch,"Discount Furniture Showcase",Purple,"Cutting and slicing machine setter","2003 Ford Taurus",9/15/1975,19,female,Swedish,Ms.,I,,,CH,Switzerland,Hankicht,oothoCh3ai,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9",41,Gustafsson,Virgo,Visa,4716008529787673,145,6/2020,,"1Z 256 4W6 05 8580 410 0",8207870619,21579157,O+,225.5,102.5,"5' 3""",160
Tomas,Åkesson,"Brunnacherstrasse 63",Zürich,8055,TomasAkesson@cuvox.de,"043 217 50 53",47.351033,8.432908,4a48cc62-1fbe-4fe9-a2f3-041245f9db0c,TextFiction.ch,"Monk House Sales",Red,"Technical sales manager","2006 Audi S6",3/5/1972,20,male,Swedish,Mr.,M,,,CH,Switzerland,Hernione,Feephedu2ei,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:42.0) Gecko/20100101 Firefox/42.0",41,Eliasson,Pisces,MasterCard,5169843918546945,043,11/2021,,"1Z 264 0E9 89 9755 178 4",1277061188,25102255,O+,192.3,87.4,"6' 1""",185
Mahmoud,Dahlberg,"Pfaffacherweg 49",Schlatt-Haslen,9054,MahmoudDahlberg@cuvox.de,"071 206 62 24",47.445111,9.327523,3321c527-d77a-421c-b2bb-402d0ed16808,PlumbingList.ch,"Olympic Sports",Blue,"Conference interpreter","2002 Pontiac Montana",8/10/1970,21,male,Swedish,Mr.,D,,,CH,Switzerland,Mathervenrat,ohkeechaeD7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9",41,Eklund,Leo,MasterCard,5173259245164100,649,12/2021,,"1Z 2W2 F39 33 7066 552 4",1860847719,22904433,A+,193.2,87.8,"5' 11""",180
Joakim,Lundin,"Kornquaderweg 126",Rheinsfelden,8192,JoakimLundin@armyspy.com,"044 732 74 44",47.644245,8.396485,305228a8-9963-4162-9f51-19c278d8b20f,BoyfriendU.ch,Finast,Blue,Cartoonist,"2000 Skoda Superb",4/13/1933,22,male,Swedish,Mr.,N,,,CH,Switzerland,Owithed33,ohdau0aCh,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.73 Safari/537.36",41,Axelsson,Aries,Visa,4539976137891761,018,8/2020,,"1Z E18 659 94 8524 768 0",1729653454,08187855,O+,210.5,95.7,"5' 10""",178
Matteo,Nyström,"Sonnenweg 57",Marchissy,1261,MatteoNystrom@armyspy.com,"022 533 42 16",46.584039,6.212674,d211ba1f-97af-48d0-a841-806bc49049a3,TrademarkGolf.ch,"Present Company",Green,"Court reporter","2004 Peugeot 306",6/28/1935,23,male,Swedish,Mr.,H,,,CH,Switzerland,Frive1935,Ookohquai3,"Mozilla/5.0 (iPad; CPU OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1",41,Öberg,Cancer,Visa,4532728961573933,018,11/2018,,"1Z 581 228 63 5755 741 2",8927411250,86486184,A+,221.3,100.6,"5' 5""",164
Isabell,Mårtensson,"Strickstrasse 136",Zürich,8023,IsabellMartensson@teleworm.us,"043 900 86 84",47.368078,8.628235,5090fb75-d92c-4e52-a4ec-654aa1ecfd12,TrainingCanine.ch,"Dick Fischers",Black,"Industrial maintenance worker","2001 Toyota Condor",1/28/1964,24,female,Swedish,Ms.,L,,,CH,Switzerland,Peammeak,NeeNiTheig3,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36",41,Lundström,Aquarius,Visa,4716447152477410,126,12/2020,,"1Z 231 111 30 8274 543 1",9563489481,66742896,O+,230.3,104.7,"5' 1""",156
Kian,Söderström,"Seefeldstrasse 120",Kempten,8620,KianSoderstrom@gustr.com,"052 402 84 77",47.308944,8.887632,54643d4e-5c37-4aab-8565-a984335bd876,NewYearSMS.ch,Hechinger,Green,"School teacher","2005 Audi S4",6/9/1967,25,male,Swedish,Mr.,H,,,CH,Switzerland,Witheing67,ki0fig1Ah,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36",41,Gustavsson,Gemini,Visa,4485433117789999,450,4/2019,,"1Z 06F 194 93 7947 703 2",3486377485,12304488,O+,224.6,102.1,"6' 1""",185
Thor,Danielsson,"Mühle 53",Schupfart,4325,ThorDanielsson@rhyta.com,"049 253 61 28",47.54318,7.884632,727adea9-78e1-4d73-a2a6-bb9b80cf40b4,SeatingCentral.ch,"White Hen Pantry",Red,"Purchasing director","2005 Kia Spectra",6/18/1934,26,male,Swedish,Mr.,S,,,CH,Switzerland,Knoo1934,aih4Xaizoo,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36",41,Månsson,Gemini,Visa,4539139669359018,910,9/2017,,"1Z 049 113 69 0419 082 0",7101439246,29271171,B+,163.2,74.2,"5' 9""",175
Maria,Bengtsson,"Rosenweg 121",Langenhart,8555,MariaBengtsson@jourrapide.com,"052 996 50 96",47.58521,8.951739,b1e8656d-0ae8-4067-b745-d471d8f9053d,FuelCompressor.ch,"David Weis",Orange,"Paper goods tender","2005 MCC Smart",3/29/1934,27,female,Swedish,Ms.,W,,,CH,Switzerland,Adow1934,chaiCeSi0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:42.0) Gecko/20100101 Firefox/42.0",41,Sundberg,Aries,MasterCard,5278778170367515,035,7/2020,,"1Z 867 004 58 0643 470 5",8382575237,84922047,O+,154.7,70.3,"5' 2""",158
Charlotte,Henriksson,"Brunnenstrasse 6",Rueras,7189,CharlotteHenriksson@dayrep.com,"081 673 86 64",46.728254,8.784091,51166df6-dc3b-41b6-8ac0-850ca823eac4,FamilyConvention.ch,"Best Products",Orange,"Mental health social worker","1998 Fiat Brava",7/29/1937,28,female,Swedish,Ms.,E,,,CH,Switzerland,Lievaight,Ieh0ook6,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36",41,Jakobsson,Leo,Visa,4929004289369706,342,1/2021,,"1Z 351 862 61 8109 327 4",3513836679,44575710,O+,204.4,92.9,"5' 6""",167
Nelli,Holmgren,"Mittlerer Thalackerweg 6",Rüfenach,5235,NelliHolmgren@jourrapide.com,"062 549 50 23",47.48979,8.131837,128ee5d4-780b-436d-a1b4-98c78c066619,HDState.ch,"Custom Sound",Purple,Bellhop,"2008 TVR Chimaera",5/12/1963,29,female,Swedish,Mrs.,R,,,CH,Switzerland,Whimseeplis63,aNg2Chei,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36",41,Eriksson,Taurus,MasterCard,5321574470255691,118,4/2021,,"1Z F36 635 61 4360 947 2",2214781348,19983731,O+,204.8,93.1,"5' 8""",173
Anthony,Karlsson,"Pfaffacherweg 33",Schlatt,5316,AnthonyKarlsson@einrot.com,"062 880 88 27",47.577189,8.129646,f794f09b-1bf8-4cf3-bd86-f72b471f12f2,MoleBlog.ch,Chatham,Green,"DTP operator","2008 Hyundai i30",1/8/1954,30,male,Swedish,Mr.,T,,,CH,Switzerland,Noway1954,eGhae7eeNga,"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",41,Åberg,Capricorn,Visa,4556253375617854,488,6/2019,,"1Z 312 7V7 21 3579 504 8",3902142215,06601597,O-,215.6,98.0,"6' 1""",186
Villiam,Lundgren,"Landstrasse 66",Schaffhausen,8200,VilliamLundgren@jourrapide.com,"044 576 49 87",47.71637,8.661747,d732cea2-59c5-428d-a68c-c548bd80899b,GolfingPublic.ch,"Jackhammer Technologies",Blue,"Ceiling tile installer","2010 BMW X5",3/1/1976,31,male,Swedish,Mr.,A,,,CH,Switzerland,Owere1976,Ooy7Li9ye7J,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36",41,Hermansson,Pisces,MasterCard,5526137740191279,265,9/2020,,"1Z 712 955 88 3908 775 6",4624900738,10165924,B+,160.8,73.1,"6' 0""",184
Angelina,Sundström,"Auerstrasse 104",Luzern,6006,AngelinaSundstrom@armyspy.com,"041 527 63 11",47.026551,8.371405,aad606c7-f796-4f79-bb46-3bf31b83c384,StreamSeat.ch,"Buck Alley Lumber",Green,"Simultaneous interpreter","2000 TVR Tuscan",11/15/1984,32,female,Swedish,Mrs.,B,,,CH,Switzerland,Floont,ohv6aiSi,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",41,Jonsson,Scorpio,MasterCard,5129281001506378,930,5/2019,,"1Z 28Y 0Y8 61 3435 412 6",8058924209,21001352,A+,144.8,65.8,"5' 7""",169
Melker,Olsson,"Binzmühlestrasse 83",Safenwil,5745,MelkerOlsson@rhyta.com,"062 430 62 70",47.229365,8.077011,9ee58d68-1500-4743-96aa-ea715c244c74,RoboBoxing.ch,"Total Quality",Blue,"Fine artist","1998 Lada Samara II",3/28/1993,33,male,Swedish,Mr.,E,,,CH,Switzerland,Throplad,sou1AiFoo,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0",41,Holmgren,Aries,Visa,4539867193249962,033,8/2017,,"1Z 422 861 87 3610 850 4",4302002908,54186907,B+,206.6,93.9,"6' 2""",187
Thilda,Blomqvist,"Bahnhofplatz 40",Anzonico,6748,ThildaBlomqvist@einrot.com,"091 840 56 98",46.422632,8.841879,c125975d-991b-4923-afd8-f8825e5d0275,WirelessBlogers.ch,"Hanover Shoe",Green,"Mail processor","1997 Caterham C21",8/22/1933,34,female,Swedish,Mrs.,V,,,CH,Switzerland,Swuzzy1933,see2Eingie2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9",41,Sjögren,Leo,MasterCard,5165073838809645,191,1/2020,,"1Z 9W1 992 17 0717 906 2",3186947037,38884706,O+,200.2,91.0,"5' 1""",155
Nathanael,Björklund,"Wingertweg 88",Engelberg,6390,NathanaelBjorklund@gustr.com,"041 339 28 97",46.838887,8.39499,af0cade7-2e18-4749-b39c-185cdbaea6b0,CallRank.ch,"Earthworks Yard Maintenance",Green,"Conservation worker","1998 Lada Natacha",9/4/1936,35,male,Swedish,Mr.,T,,,CH,Switzerland,Tropers,no4Eeteipae,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",41,Fredriksson,Virgo,Visa,4556899205190445,782,6/2021,,"1Z 99F E80 63 7325 118 2",8298428598,06102514,O+,178.0,80.9,"6' 0""",182
Andy,Åström,"Jakobstrasse 52",Opfershofen,8584,AndyAstrom@gustr.com,"052 557 58 22",47.552294,9.179888,324d13c1-090a-45fa-af9b-a3a174a1f2e0,ShoppingLesson.ch,"CSK Auto",Blue,"Copy editor","2003 Ford Mondeo",3/23/1993,36,male,Swedish,Mr.,J,,,CH,Switzerland,Allepabuse,weiP5quia3oh,"Mozilla/5.0 (Windows NT 10.0; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0",41,Bergqvist,Aries,MasterCard,5148770738187004,097,11/2017,,"1Z 04V 607 19 9517 548 5",9693209039,37576359,A+,219.3,99.7,"5' 11""",180
Jessika,Fransson,"Untere Bahnhofstrasse 130",Carena,6584,JessikaFransson@einrot.com,"091 351 52 35",46.153323,9.104622,e4fd99e3-34cb-4a5a-bb34-4aeddf247207,AviationTales.ch,"Road Runner Lawn Services",Green,"Costume attendant","2008 Nissan Navara",8/7/1962,37,female,Swedish,Dr.,F,,,CH,Switzerland,Theyeaterve,chee8om2ANg,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/601.2.7",41,Nyman,Leo,MasterCard,5335408787441971,299,3/2017,,"1Z 112 41W 26 4851 083 0",1085248407,96157293,O+,122.3,55.6,"5' 1""",155
Tiffany,Dahl,"Höhenweg 89",Heimberg,3627,TiffanyDahl@gustr.com,"033 431 87 78",46.856999,7.678219,637cd314-2338-45c6-99ad-64bf2ac6b8f3,NumberConnect.ch,"Pro Star Garden Management",Purple,"Technical sales support worker","2004 Avanti Studebaker",9/11/1991,38,female,Swedish,Mrs.,J,,,CH,Switzerland,Mespirst,ooGi1shair,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",41,Lindberg,Virgo,MasterCard,5516042185924253,112,4/2018,,"1Z V86 A87 64 3426 754 7",8237875071,06111702,O+,134.0,60.9,"5' 5""",164
Livia,Lindholm,"Via Verbano 21",Untervaz,7204,LiviaLindholm@teleworm.us,"081 424 29 39",46.884288,9.608597,69685227-7e7e-4209-9f65-90481226013c,ScottsdaleGazette.ch,Strongbod,Red,Farmhand,"1998 Volkswagen Caravelle",11/5/1949,39,female,Swedish,Mrs.,M,,,CH,Switzerland,Occowell,joow3uiF,"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko",41,Martinsson,Scorpio,MasterCard,5189500409490175,950,12/2021,,"1Z V57 F62 83 6387 484 5",2254814561,60924547,A+,128.9,58.6,"5' 6""",168
Petra,Jansson,"Quadra 27",Färnigen,6485,PetraJansson@superrito.com,"041 492 41 89",46.714547,8.581455,203d7c28-82e9-4559-8042-729f2e807371,RatedCompany.ch,"Trak Auto",Black,"Heating, air-conditioning, and refrigeration installer","2008 Volkswagen Bora",9/24/1982,40,female,Swedish,Mrs.,B,,,CH,Switzerland,Mins1982,Ohvei1loi7,"Mozilla/5.0 (Windows NT 6.1; rv:43.0) Gecko/20100101 Firefox/43.0",41,Sjögren,Libra,MasterCard,5363257115310126,545,12/2017,,"1Z A93 275 29 7048 464 0",0294230077,60590850,O+,133.3,60.6,"5' 3""",159
